,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:4,6,6.0- 7.0 sec,43.8,KBytes,359,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:4,7,7.0- 8.0 sec,43.8,KBytes,359,Kbits/sec,33.9,KBytes,278,Kbits/sec
reno/reno:4,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,35.4,KBytes,290,Kbits/sec
reno/reno:4,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,11,11.0-12.0 sec,43.8,KBytes,359,Kbits/sec,36.8,KBytes,301,Kbits/sec
reno/reno:4,12,12.0-13.0 sec,43.8,KBytes,359,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/reno:4,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,36.8,KBytes,301,Kbits/sec
reno/reno:4,14,14.0-15.0 sec,43.8,KBytes,359,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/reno:4,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,38.2,KBytes,313,Kbits/sec
reno/reno:4,16,16.0-17.0 sec,43.8,KBytes,359,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/reno:4,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,39.6,KBytes,324,Kbits/sec
reno/reno:4,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,2.83,KBytes,23.2,Kbits/sec
reno/reno:4,19,19.0-20.0 sec,43.8,KBytes,359,Kbits/sec,42.4,KBytes,348,Kbits/sec
reno/reno:4,20,0.0-20.5 sec,530,KBytes,212,Kbits/sec,499,KBytes,200,Kbits/sec
reno/westwood:0,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/westwood:0,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:0,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,12.7,KBytes,104,Kbits/sec
reno/westwood:0,3,3.0- 4.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,4,4.0- 5.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,5,5.0- 6.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,7,7.0- 8.0 sec,31.1,KBytes,255,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,8,8.0- 9.0 sec,33.9,KBytes,278,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,9,9.0-10.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,10,10.0-11.0 sec,33.9,KBytes,278,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,11,11.0-12.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,12,12.0-13.0 sec,35.4,KBytes,290,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,13,13.0-14.0 sec,38.2,KBytes,313,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,14,14.0-15.0 sec,1.41,KBytes,11.6,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,15,15.0-16.0 sec,38.2,KBytes,313,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,16,16.0-17.0 sec,1.41,KBytes,11.6,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,17,17.0-18.0 sec,39.6,KBytes,324,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,18,18.0-19.0 sec,2.83,KBytes,23.2,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,19,19.0-20.0 sec,42.4,KBytes,348,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/westwood:0,20,0.0-20.5 sec,530,KBytes,212,Kbits/sec,499,KBytes,200,Kbits/sec
reno/westwood:1,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/westwood:1,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:1,2,2.0- 3.0 sec,12.7,KBytes,104,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,3,3.0- 4.0 sec,43.8,KBytes,359,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:1,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,5,5.0- 6.0 sec,43.8,KBytes,359,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:1,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:1,7,7.0- 8.0 sec,43.8,KBytes,359,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/westwood:1,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,33.9,KBytes,278,Kbits/sec
reno/westwood:1,10,10.0-11.0 sec,43.8,KBytes,359,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/westwood:1,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,33.9,KBytes,278,Kbits/sec
reno/westwood:1,12,12.0-13.0 sec,43.8,KBytes,359,Kbits/sec,33.9,KBytes,278,Kbits/sec
reno/westwood:1,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,14,14.0-15.0 sec,43.8,KBytes,359,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/westwood:1,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,35.4,KBytes,290,Kbits/sec
