,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:2,9,9.0-10.0 sec,128,KBytes,1.05,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,10,10.0-11.0 sec,62.9,KBytes,515,Kbits/sec,318,KBytes,2.61,Mbits/sec
reno/westwood:2,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:2,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/westwood:2,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/westwood:2,14,14.0-15.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,16,16.0-17.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/westwood:2,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:3,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/westwood:3,1,1.0- 2.0 sec,156,KBytes,1.27,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,2,2.0- 3.0 sec,33.9,KBytes,278,Kbits/sec,130,KBytes,1.07,Mbits/sec
reno/westwood:3,3,3.0- 4.0 sec,133,KBytes,1.09,Mbits/sec,5.66,KBytes,46.3,Kbits/sec
reno/westwood:3,4,4.0- 5.0 sec,8.48,KBytes,69.5,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:3,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,240,KBytes,1.97,Mbits/sec
